title,text
Violence flares as HK protests start 9th week,"Policeman hospitalized with leg burns; large groups of residents thank officers
Separate protests were held in various parts of Hong Kong on Sunday as the demonstrations entered their ninth week, while large groups of Hong Kong residents visited several police stations over the weekend to express their firm support and respect for the police force.
On Sunday, a radical protestor hit a police officer with a gasoline bomb, and Commissioner of Police Lo Wai-chung later visited the officer, who had been hospitalized for burn wounds on his legs.
A resident surnamed Chan, who visited Kwai Chung Police Station with his wife and son on Saturday, said: ""The police have been working really hard to safeguard social order. We came here to show our support."" The boy gave the police a handwritten card.
Carrie Lam Cheng Yuet-ngor, chief executive of the Hong Kong Special Administrative Region, visited on Friday the Wong Tai Sin Police Station and dormitory, which had been attacked by radical protesters. Lam thanked the police officers for their hard work to safeguard the Hong Kong public.
The HKSAR government and police condemned the illegal assemblies and said police will strictly enforce the law against all violent and illegal acts.
Protesters who break the law should be brought to justice, the government stressed.
The police reiterated that anyone participating in an unauthorized assembly will be committing an offense.
Security at the Sham Shui Po Police Station had been strengthened as protesters turned out on Sunday for a banned rally in the district in the afternoon. They soon occupied Cheung Sha Wan Road and set up barriers along the main thoroughfare. Others surrounded the police station and, ignoring a police warning to disperse, targeted officers with laser pointers.
At about the same time on the other side of the financial hub, demonstrators dressed mostly in black gathered in Victoria Park. Some were seen waving American flags.
After a brief peaceful demonstration, they left the park to take over Hennessy Road, a major thoroughfare in the heart of the shopping district in Causeway Bay, blocking traffic and disturbing tourists. In hit-and-run tactics, they also went to Wan Chai, taking similar actions.
Those protesters face the risk of arrest because they deviated from the planned rally's location.
Under Hong Kong's Public Order Ordinance, participating in an unlawful assembly is punishable by five years' imprisonment, and rioting carries a maximum penalty of 10 years.
Also on Sunday, demonstrators continued to occupy the Hong Kong International Airport arrivals hall for a third day.
Riot suspect grounded 
In a separate development, the city's major airline, Cathy Pacific, confirmed on Saturday that a Hong Kong pilot charged with rioting for taking part in a recent protest has been grounded.
On Friday, the embattled airline received a warning from the Civil Aviation Administration of China, the national aviation regulator, over the possible safety risk the pilot posed and queries from passengers and the public.
The airline also confirmed that two of its employees had been dismissed for misconduct.
In Beijing, the Foreign Ministry urged the United Kingdom to stop interfering in China's internal affairs and to refrain from making random, inflammatory accusations regarding Hong Kong.
The refutation came after the British Foreign Office said that new Foreign Secretary Dominic Raab spoke by telephone on Friday with Lam about the situation in Hong Kong.
""I'd like to point out that Hong Kong today is a special administrative region of the People's Republic of China. Long gone are the days when it was under British colonial rule,"" Foreign Ministry spokeswoman Hua Chunying said on Saturday.
China Daily - Xinhua"
Bruce Lee's broad appeal still holds,"It's a reflection of Bruce Lee's transcendent appeal that he continues to inspire people on both sides of the Pacific Ocean even 46 years after his untimely death. The United States, the Chinese mainland and Hong Kong were central to his powerful hybrid identity. In many ways, Bruce Lee is a man of the moment, a man for the paradoxical times we live in. As a fighter on and off the screen, he knew a thing or two about conflict: when to stand up, when to stand down, when to walk away.
In the 1960s he was a first-generation jetsetter, bridging the Pacific Ocean at a time when jets had just begun to edge out the older, slow propeller planes for long-haul travel. As a Chinese living in the US, and as an American living in Hong Kong, he epitomized the integrated ""Chimerica"" complex we live in today. A bicultural exemplar, he beat a path from Hollywood to Hong Kong and back, bringing American technique to Chinese films, and the practice and philosophy of Chinese martial arts to US screens, fight clubs and gyms.
He inspired Chinese, still uncertain of their place in an inequitable world, to be proud of themselves, but at the same time, he also inspired people of all races with his inclusive teaching and accessible presentation of traditional Chinese wisdom.
The quibbling, quarreling world today is in dire need of the kind of rounded, yin-yang wisdom epitomized by Lee in his prime, whether in regard to racial harmony, the US-China trade war, or the violent protests in Hong Kong.
Lee is best remembered as a rugged individual, a man of uncanny self-confidence whose passion for the martial arts and spiritual self-mastery was evident to all who knew him.
When American film director Quentin Tarantino took to the screen to poke fun at Bruce Lee by mocking his personality and martial arts prowess in Once Upon a Time in Hollywood, the reaction of fans, family, friends, former sparring partners and film boards was swift and furious.
Kareem Abdul Jabbar, a former student of Lee and a legend in his own right, wrote a nuanced commentary in which he defended the right of Tarantino to invent, exaggerate and distort the truth in the name of art, but also said, emphatically, that propagating deliberate lies and deceptive depictions of real people is not just in bad taste, but puts a blur on the historical record.
Bruce Lee as played by Mike Moh is creditable as far as these things go; there's an uncanny resemblance and he got the accent down. True, the fists flew much too slowly to be vintage Lee, and Brad Pitt's counterattack was even more implausible, but that's pretty much par for the course in Hollywood.
What critics of the film took offense to was the plot. The director used Lee as a chump and disposable sidekick to a charming Caucasian lead. As Lee's daughter Shannon explained in Variety magazine, her father was forever being ""marginalized and treated like a kind of a nuisance of a human being by white Hollywood, which is how he's treated in the film"".
Now, Lee's name is being invoked by the violent protesters in Hong Kong. Consider these dueling headlines from the South China Morning Post: ""Hong Kong protests embrace Bruce Lee but reject Jackie Chan in tale of two martial arts heroes"", and ""Hong Kong protesters have lost the plot: Bruce Lee said 'be water, my friend', not 'be stupid'"".
Protesters claim Bruce Lee lineage for their ""be like water"" street-fighting tactics. The likeness of Lee continues to pop up on T-shirts and on the so-called Lennon Walls where the Hong Kong protesters post messages. No one can say for sure which side he would have come down on, but based on his sturdy East-West bridge building, it is likely he would refuse the binary choice of taking sides and look for ways out of the conflict. As Walt Whitman said, the individual contains multitudes.
Bruce Lee retains broad appeal. A bridge between East and West in his life, driven to combat the demons of chauvinism on both sides, his spirit continues to transcend boundaries. It's a testament to the lasting power of his ideas, and life example, that nearly half a century after his untimely death, he is still a part of the conversation.
The author is a media researcher covering Asian politics. The views don't necessarily represent those of China Daily.
Credit: Philip J. Cunningham"
HK protests weighing on job market,"Experts say it's harder to lure overseas talent, some positions may be diverted
Protracted protests are weighing on Hong Kong's job market as recruiters are finding it more difficult to attract overseas talent to work in the city and expatriates are considering leaving.
""Some companies have halted their hiring programs in Hong Kong amid the lingering protests as they wait on the sidelines to monitor market developments,"" said Simon Lee Siu-po, co-director of Chinese University of Hong Kong's International Business and Chinese Enterprise Program.
""Enterprises now think there will be political risk involved in relocating their staff to Hong Kong,"" Lee said, and if the turmoil is not settled in the near future, ""some job positions may be diverted elsewhere"".
Because of the continuing unrest, some companies have canceled or delayed training programs scheduled to be held in Hong Kong, he added.
Hong Kong is in its 12th week of protests, which were initially sparked by an extradition amendment bill, although the bill has since been suspended. Multinational companies are holding off on business expansion in Hong Kong, making them less eager to send overseas talent to the city.
However, Lee says Hong Kong is still attractive as a regional talent hub given its good institutional attributes such as the rule of law, free flow of information and low levels of corruption.
If the government will seize the opportunity to solve long-term structural problems such as wealth disparity and affordable housing when the turmoil is settled, the city can quickly restore its economic vigor and attract talent once again, Lee said.
Concerns about safety in Hong Kong are leading some job candidates from abroad to choose other destinations.
""Some overseas talent decided to take job offers in Shanghai due to personal safety considerations,"" said Alexa Chow Yee-ping, managing director of Hong Kong-based AMAC Human Resources Consultants.
Even when stability is restored, overseas workers might still need another half year or so to gauge whether the city is stable enough for career development, Chow said.
""I am worried that even local talent may consider leaving the city,"" she added.
Armstrong Lee, managing director of Worldwide Consulting Group, said about 20 to 30 percent of companies are slowing their pace of recruitment, mostly affecting mid-level posts.
Gloria Leung, chief executive of ExcelNet Total HR Solutions, said nearly 10 percent of foreign companies in Hong Kong have put a freeze on hiring since late June.
Although reasons for the freeze were not cited, Leung said it showed employers have become unnerved by the city's continuing turmoil.
Margaret Fung, TMF Group's managing director for Hong Kong, said, ""As a leading provider of international business administration services, we are constantly sensing the market and its dynamics, and we will continue to observe it in case the situation changes.""
oswald@chinadailyhk.com
Credit: Oswald Chan in Hong Kong"
"HK needs to restore public order, now","There is a dreary dismal familiarity to me in watching the progression of the continuing Hong Kong riots. They could be following exactly the same script as the protests that rocked the West in the late 1960s.
At first, the protests begin as apparently peaceful, orderly and dignified, but they never stay that way for too long.
For the protesters are never satisfied by reasonable concessions and dignified compromises on the part of the authorities. Instead, slowly but inexorably, the protests descend into the primeval language of bestial hate and emotional hysteria.
The ""requests"" for ""concessions"" first grow into ""demands"". Then those ""demands"" invariably and inevitably widen. They become impossible to concede. And even if the government does concede them, the response is only to demand even more wide ranging ones. Eventually, the protesters' ""demands"" become so incoherent, sweeping and inarticulate, filled with hatred and rage that it is impossible to even define them, let alone continue to grant them.
The authorities in Hong Kong have been remarkably restrained in their use of force so far. At the time of writing, there have been no fatalities as a direct result of police using of force. One protester fell or was pushed off the roof of a building. It is not even known by whom. Another man who had an argument with protesters was set on fire by the extreme ones and is in critical condition. A third who was shot this week by police may or may not die.
Yet James Palmer writing in the ""Foreign Policy"" web platform on Nov 11 had no hesitation in predicting that more deaths would follow and that they would all be the fault of the Chinese authorities. ""Police brutality is brutalizing its victims,"" he wrote.
It is certain that Palmer would never dare to allege that police brutality in the United States was brutalizing the families and communities of its victims. Yet more than 1,000 people - many of them harmless and unarmed - are killed in US police shootings every year, according to data bases published by The Washington Post and The Guardian in Britain.
In 2015, The Guardian counted 1,146 deaths at police hands in the US and in 2016, they counted 1,093 deaths. The Washington Post database reported 995 deaths for 2015, 963 for 2016 and 976 for 2017. At the time of writing, the Post reported 783 such deaths for this year.
From 1965 through the end of the decade outbursts of similar student violence threatened the stability and (so it seemed) survival of societies throughout the West.
But wherever those protests got out of hand - especially in the United States and in my native Northern Ireland - the authorities responded unhesitatingly with direct security crackdowns. Inevitably, the repressions that followed in countries around the world were far harsher than the regimes that the outraged protesters were raging against.
There should be no surprise as this process relentlessly unfolds. For it is the very credibility of the government itself and its capability to provide security for its people that is being challenged. Ultimately, it is the very survival of the government and its moral duty to protect its people that is being targeted.
This is true even if the population at risk is the tiny 1.5 million of Northern Ireland under the indirect rule of Britain in 1969.
The Chinese people have enjoyed a security and prosperity unprecedented in their entire history over the past four decades. The very creation of Hong Kong after the first Opium War grew directly out of the smashing of the credibility and military power of China's ruling Qing Dynasty (1644-1911) by Britain and France in the notorious Opium War of 1840-42. Its return to China on July 1, 1997, has therefore always been emblematic of China's terrible ""Century of Powerlessness"" - and of the new and better age that at last succeeded it.
The national consensus among the Chinese people to keep their nation unified and peaceful, safe and strong is therefore a deeply rooted and profound one.
It is vital that peace is restored in Hong Kong and law and order are maintained for the greater good. The rioters therefore need to be warned clearly in advance what the consequences of their continued lawless, violent actions will be.
The cowardly hypocrites who urge them on from thousands of miles away are only going to have blood on their own hands: Far too much of it.
The author is a senior fellow at the American University in Moscow.
The views don't necessarily reflect those of China Daily.
Credit: Martin Sieff"
US act adding fuel to the Hong Kong fire,"Editor's Note: The US Congress has made the passing of the ""Hong Kong Human Rights and Democracy Act of 2019"" introduced by Congress members in June a top priority, while over the weekend some demonstrators in Hong Kong urged the US Congress to approve the law. Three experts share their views on the issue with China Daily's Liu Jianna. Excerpts follow:
US interference in China's internal affair unacceptable
One country paying attention to another country's human rights conditions and helping it promote human rights may not be a bad thing, because human rights are universal values and the common goal of the people of all countries. But what measures should a country take to protect and promote human rights are absolutely its own business, because only that country has the right and duty to safeguard human rights within its boundaries.
Besides, only the country in question can take into consideration the domestic realities, which the outside world more often than not ignores, to ensure the protection and smooth and orderly promotion of human rights.
By introducing the ""Hong Kong Human Rights and Democracy Act"", which is a direct interference in China's internal affairs, the United States has not only violated China's sovereignty, but also called into question the very concept of human rights and freedom.
Worse, the US has openly supported the violators who have contravened the very human rights they claim to pursue by attacking police officers and police stations and other government facilities and unleashing indiscriminate violence in the Hong Kong Special Administrative Region.
Obviously, human rights and freedom, in the true sense of the terms, are not what the US preaches. Which means Washington is seeking to encourage the demonstrators to continue the mayhem in Hong Kong and widen the divisions in the city.
Lu Zhian, a researcher at the Research Center for Human Rights, Fudan University
HK unrest reflects rise of populism
This is not the first time, and it certainly won't be the last, that the US Congress is trying to push through such an act, thanks to the businesspeople represented by the US president, ""missionaries"" such as House Speaker Nancy Pelosi, and ""soldiers"" like Vice-President Mike Pence. The missionaries, for example, believe that what is good for the US is good for the world, and therefore blindly export US values to the rest of the world.
Before the midterm elections, the US leader could call the shots and silence the Democrats. But now that the Democrats have got a majority in the House of Representatives, partisan politics has kicked in.
In fact, the unrest in Hong Kong is a continuation of the populism that has besieged the other two international financial centers, New York and London, in the past as reflected in the Occupy Wall Street movement and Brexit.
Yet some forces in the US hope that by helping escalate the violence in Hong Kong, they will force the Chinese central government to deal with the demonstrators with an iron hand to restore order in the city, which would give them an opportunity to label China as an enemy of human rights and ask the international community to join Washington in boycotting it.
The more restrained has been the central government's response, the more anxious these forces have become. As a result, they are trying increasingly aggressive ways to provoke China. But instead of linking the Hong Kong demonstrations with the Sino-US trade war, Washington should strive to ink a trade deal with China at the next round of trade talks in October in order to avoid further complicating the issue.
Wang Yiwei, Jean Monnet chair professor at Renmin University of China
'Color revolution' not possible in China
As a self-proclaimed human rights champion, the US is adept at airing its views on almost every issue, especially on issues in which China is involved. For instance, the US Congress has passed many acts related to China's human rights record.
Yet by brazenly endorsing the acts of some Hong Kong demonstrators who have unleashed violence in Hong Kong, and ignoring the restraint the Hong Kong and central governments have shown, the US has betrayed its ulterior motives.
The Hong Kong insurrectionists' aim is to stage another ""color revolution"", but even they know that they cannot succeed in their evil design. And by introducing the so-called Hong Kong human rights act, the US Congress will add fuel to the fire in Hong Kong. This should prompt China to take immediate measures to stop the US and other Western countries from interfering in its internal affairs.
Zhu Feng, dean of the Institute of International Relations of Nanjing University
The views don't necessarily represent those of China Daily.
Credit: Liu Jianna"
HK dialogue doesn't mean condoning violence,"Hong Kong Chief Executive Carrie Lam Cheng Yuet-ngor said on Tuesday the government would spare no efforts in establishing a platform to conduct dialogue with the people of the Hong Kong Special Administrative Region, regardless of their ideological stances, in order to find a way out of the political impasse.
Speaking to journalists before the weekly Executive Council meeting, Lam emphasized that the initiative should not be seen as condoning the violence, which escalated during protests over the weekend. The government has zero tolerance for violence regardless of the circumstances and political motives, and it is committed to bringing perpetrators to justice, she said.
""Starting a dialogue does not mean we should condone violence. Just imagine under the pretext of communication that we tolerate all forms of violence in Hong Kong. That would be the end of the rule of law in Hong Kong,"" Lam said.
Lam's remarks came after she and SAR government officials engaged in talks with different groups twice over the past few days - one with high-profile community leaders and the other with mainly youth representatives. She declined to disclose details of the talks or identify the participants, but mentioned that she had reiterated the reasons behind the government's objection to establishing an independent investigation commission, which is one of the protesters' key demands.
Her remarks came after the city endured the 12th weekend of violent protests against the now-abandoned extradition bill. In the most recent disturbances, radical protesters attacked police officers with gasoline bombs and bricks at multiple locations in Kowloon, and sabotaged 20 multifunctional lampposts that were part of the smart city project.
Noting that schools would be in session soon, Lam strongly denounced protesters' harassment of police officers' families, especially their school-age children.
""For the families of my police colleagues, I just do not see the association of the protests and the protesters' demands with the harassment of police families,"" Lam said.
""And I hope every one of us, the education sector especially, takes into account the bullying and harassment of children. And not just those in police families, but children everywhere,"" she added.
Underage protesters 
Fifteen juvenile protesters, aged between 12 and 15, have been arrested for roles in the protests that were originally against the now-abandoned extradition bill, police said on Tuesday.
According to police, offenses include unlawful assembly, assaulting a police officer, obstructing a police officer, loitering, possession of offensive weapons and possession of instruments fit for unlawful purposes.
One 12-year-old boy who was arrested is believed to have just finished his elementary schooling.
Li Chi-lam, principal of Lingnan Hang Yee Memorial Secondary School, confirmed on social media that a student at the school was arrested on Sunday.
Under the Juvenile Offenders Ordinance, no child aged between 10 and 13 can be sentenced to imprisonment; and no one aged between 14 and 15 can be sentenced to imprisonment if that person can be suitably dealt with in any other way.
Ho Hon-kuen, chairman of professional association Education Convergence, said he was saddened to see juveniles taking part in illegal assemblies. He added the incident raised a red flag in the education sector and should bring about in-depth reflection on liberal studies.
China Daily"
US Navy port calls canceled in Hong Kong,"Warships' visits untimely, would send wrong signal to protesters, experts say
Experts said requests for port visits in Hong Kong by the US Navy are untimely and inconvenient given the massive protests plaguing the special administrative region as violent radicals have intensified their attacks on police, obstructed public transport and commerce and threatened local residents' lives and properties.
The Chinese government has the right to review and approve foreign naval warships' port call requests on a case-by-case basis, in accordance with the principles of national sovereignty and development of circumstances at the time, experts said.
The United States Pacific Fleet's deputy spokesman, Nate Christensen, said on Tuesday that China has denied scheduled port visits in Hong Kong by the amphibious transport dock ship USS Green Bay for Saturday and by the guided-missile cruiser USS Lake Erie in September.
US naval ships arriving now would send an ""extremely dangerous and wrong"" signal to Hong Kong's rioters that their actions have the support of the US military, thus stirring up new trouble and escalating tension to perilous heights, the experts added.
The last US warships to visit Hong Kong were the USS Blue Ridge amphibious command ship and the US Coast Guard Cutter Bertholf in April. Last week, the US State Department issued an advisory warning urging travelers to Hong Kong to ""exercise increased caution"" due to ""confrontational protests"".
Port calls often serve as a barometer of China-US ties. Last year, China canceled the visit to Hong Kong of amphibious assault ship USS Wasp after Washington approved a $330 million sale of military equipment to Taiwan and sanctioned the Chinese military over a Russian arms deal.
In 2016, aircraft carrier USS John C. Stennis and four ships in its strike group were denied port visits to Hong Kong after the US criticized China's activities in the South China Sea. China also denied similar visits by US warships in 2014 and 2007.
Warship port calls to Hong Kong are defense and diplomatic affairs that require special permission by the central government in Beijing, according to the Basic Law of the HKSAR. The Hong Kong government is tasked with hosting and carrying out the details of such events.
Port call activities typically consist of diplomatic exchanges, repairs, refueling, restocking of supplies and local tours, shopping and other friendly and relaxing activities. The Consulate General of the United States in Hong Kong and Macao is tasked with submitting requests and other information regarding US naval port calls.
Li Haidong, a professor of US studies at China Foreign Affairs University, said the US Navy has a long track record of port visits to Hong Kong given its strategic location, and requests for such visits must be submitted in advance.
""Hong Kong has been in turmoil for months now. Coincidence or not, the US Navy couldn't have picked a more terrible time for a port call. It feels highly suspicious and does not take the feelings of the Chinese people into consideration,"" Li said.
""There is no way the US military doesn't know the situation in Hong Kong, especially when mounting evidence shows US meddling in China's domestic affairs,"" he said. ""US warships visiting now would inevitably send a very dangerous message in support of the rioters, which is detrimental to the city's peace and stability.""
China has repeatedly accused the US of interfering in Hong Kong affairs and urged it to stop. While the US has denied the accusations, US politicians and media have frequently slandered efforts by Beijing and the Hong Kong police to maintain social order and voiced their support for the protesters.
""The chaos in Hong Kong has US fingerprints all over it,"" Li said. ""The US is hoping to turn Hong Kong into another source of leverage it can use to pressure China. China highly values Sino-US ties, but this relationship must be built on the bedrock of the US respecting China's sovereignty.""
Yuan Zheng, director of US foreign relations research at the Institute of American Studies under the Chinese Academy of Social Sciences, said the US has been a major external force fueling the current turmoil in Hong Kong by funding and training protestors, as well as whitewashing their violent actions.
""Denying port visits means China is very displeased with the deep US involvement in its domestic affairs,"" Yuan said.
zhangzhihao@chinadaily.com.cn
Credit: Zhang Zhihao"
Overriding task in Hong Kong is 'to stop violence',"Challenging 'one country, two systems' principle will not be tolerated, official says at symposium
The central government will not sit by if the situation in Hong Kong deteriorates to a point that Hong Kong Special Administrative Region government cannot handle, Zhang Xiaoming, director of the Hong Kong and Macao Affairs Office of the State Council, said at a symposium in Shenzhen, Guangdong province, on Wednesday.
The central government has sufficient capabilities to quickly quell possible unrest as empowered by the Basic Law of Hong Kong, Zhang said.
""The most pressing and overriding task at present is to stop violence, end the chaos and restore order, so as to safeguard our homeland and prevent Hong Kong from sinking into an abyss,"" Zhang said, adding it is facing ""the most serious situation"" since its return to the motherland in 1997.
Speaking to about 550 dignitaries from a wide cross-section of Hong Kong society, Zhang said the central government is highly concerned about the situation in the city and is closely following developments there.
Zhang's remarks followed two earlier news conferences by the office to voice concerns about the turmoil in Hong Kong. Since June 9, anti-extradition bill protests have not only grown bigger and more widespread, but have also become more violent.
Radical protesters vandalized public buildings, besieged police stations and desecrated the national emblem and the national flag. Any act challenging the ""one country, two systems"" bottom line will not be tolerated, Zhang said.
Bringing peace and order back to Hong Kong is a shared aspiration of the majority of the people, Zhang said. The key to navigating out of turmoil is to support Chief Executive Carrie Lam Cheng Yuet-ngor and the police in enforcing the law strictly and sternly, he said.
Patriotic forces can also play a pivotal role in steering the city out of the storm as they are a main force in safeguarding stability and prosperity, Zhang added.
Key representatives attending the symposium included Hong Kong lawmakers, deputies to the National People's Congress and members of the National Committee of the Chinese People's Political Consultative Conference and members of central government institutions in Hong Kong.
Director of the Liaison Office of the Central People's Government in the Hong Kong SAR Wang Zhimin and Yang Jianping, deputy director of the office, also attended the symposium.
Zhang's comments were exactly what was needed to boost the confidence and morale of patriots, Wang said.
He added that Hong Kong is experiencing a crucial battle that concerns the city's destiny and future. Putting an end to violence is the city's top priority and also the common aspiration and the most urgent demand of the city's people, he said.
Calling for unswerving support for the SAR's chief executive and the government, Wang also encouraged the public to firmly support the police in their enforcement of the law.
The demonstrations in Hong Kong have evolved into radical and violent activities that seriously violate law and jeopardize the city's security and order, and any responsible government will not sit idly by in the face of such violent transgressions of the law, Foreign Ministry spokeswoman Hua Chunying said on Wednesday.
Rebuking the remarks made by some US politicians that if Beijing enforces martial law in Hong Kong, the US will reevaluate its relationship with China, Hua said such words are confusing what's right with what's wrong.
""I want to ask these people, do you still remember how the US police dealt with the Occupy Wall Street movement in 2011? If Hong Kong's radical, violent and illegal activities happened in the US, what would the US police do?"" Hua said.
The central government firmly supports Chief Executive Carrie Lam Cheng Yuet-ngor in leading the Hong Kong government to administer the SAR according to law, as well as the Hong Kong police in strictly enforcing law, Hua said.
Any attempt to interfere in Hong Kong's affairs and China's internal affairs is doomed to fail, she said.
Speaking after attending the morning session of the full-day symposium, Margaret Chan Fung Fu-chun, former director-general of the World Health Organization, said she could barely recognize the city now.
Chan, who was born and raised in Hong Kong, said the city had suffered sustained violent attacks on its rule of law by a small group of people who attacked those holding different views from their own.
The success of Hong Kong as an international metropolis is built on the respect for different voices and on resolving differences through dialogue, she said.
She said in her 25 years as a civil servant in the colonial government, she had never seen so many people allowed to protest on the streets - something that never would have been possible without the guarantees of the Basic Law and the ""one country, two systems"".
Tam Yiu-chung, a Hong Kong member of the NPC Standing Committee, said the loud and clear message he heard from the symposium was that the ""one country, two systems"" bottom line must not be challenged.
Lawmaker Starry Lee Wai-king said stopping violence, as Zhang said, was the top priority to restore social order, and it was also what the public wanted.
""I believe nobody wants to see an unstable Hong Kong as everyone needs to pay a price for the mayhem,"" Lee said.
China Daily"
Lam says Hong Kong taking initiative to shape groundwork for dialogue,"Hong Kong's Chief Executive Carrie Lam Cheng Yuet-ngor said on Thursday that she hopes a newly announced series of measures, including withdrawal of the controversial extradition amendment bill, will lay the groundwork for a social dialogue with wide engagement to help the city move on from its recent turbulence.
Besides the withdrawal, Lam has also appointed extra members to the city's police watchdog body, started a direct dialogue with all sectors across the political spectrum and pledged an independent review of the city's deep-rooted problems.
The four-part initiative of the special administrative region's government, announced on Wednesday, came after Lam's meeting with different groups to seek advice on the establishment of such a dialogue platform.
Speaking a day after announcing her plan, Lam said one pertinent piece of advice she received from that meeting was that the government needs to take the initiative to provide a basis for dialogue. ""And the withdrawal of the bill, to fully allay public concerns, is one of those important bases for a dialogue,"" she said.
A key demand of the protesters was the withdrawal of the bill, the introduction of which sparked mass protests starting in June, plunging the business hub into its biggest political crisis in decades.
Lam said she hopes the four actions she mentioned will be looked at ""in context"". ""Taken together"", she said, it is hoped they will form a basis for dialogue in the community.
The decision, she said, has received Beijing's understanding and support.
Two new members joining the Independent Police Complaints Council, a long-established watchdog for the city's police force, are Barrister Paul Lam Ting-kwok, former chairman of the Hong Kong Bar Association, and Helen Yu Lai Ching-ping, a senior civil servant who has served in various public offices. The council has been commissioned to conduct an independent fact-finding probe into the turmoil.
In addition, Lam will go into the community with her governing team to directly and openly talk to the people. On Thursday, SAR Secretary for Food and Health Sophia Chan Siu-chee visited the Eastern district on Hong Kong Island to exchange views on healthcare and environmental hygiene issues.
Community leaders, professionals and academics will be invited to independently examine and review society's deep-seated problems and make suggestions to the government on possible solutions.
Political analyst Lau Siu-kai said the government's moves could help ease tension and facilitate reconciliation. The offer could help the SAR government to win back support of some moderates who are dissatisfied with it and hope calm will return to Hong Kong, Lau said.
Lau, who is vice-president of the nation's leading Hong Kong affairs think tank - the Chinese Association of Hong Kong and Macao Studies - cautioned, however, that extreme radicals won't stop the violence in the short term nor attend the dialogue. But the SAR government would get more support from rational and peaceful protesters when dealing with violent acts, he added.
The government's moves also appeared to be welcomed by grassroots residents. Cheung Hoi-yee, 60, a housewife, said she hopes the dialogue will provide ""fair"" and ""balanced"" opportunities for people of all walks of life to express their opinions.
In addition to the opposition camp and protesters, residents who have incurred loss of income and stress in the recent social unrest also will have a chance to make their voice heard by officials, she said.
Taxi driver Tso Tag-ming said that only by supporting police in strictly enforcing the law to curb violence can society return to stability and peace.
China Daily"
Lam sets dialogue with Hong Kong residents,"Hong Kong is expected to get a new start amid the city's protracted turmoil as the first open dialogue between the city's leader and its people is scheduled for Thursday.
The session, set for 7 to 9 pm at the Queen Elizabeth Stadium in Wan Chai district, will see Carrie Lam Cheng Yuet-ngor, chief executive of the special administrative region, and some principal officials engage in face-to-face talks with 150 registered residents.
The statement issued by the regional government on Thursday afternoon did not say which principal officials will accompany Lam.
According to the statement, interested participants may submit their registration forms online or at Home Affairs Enquiry Centers through Monday. Places at the dialogue will be allocated by a random computer drawing if the number of registrants exceeds the quota.
Participants will not be allowed to bring any materials that might disrupt the event, including megaphones, sound amplifiers, umbrellas, defensive equipment such as mask respirators or helmets, flags, banners, bunting, plastic, glass, metal bottles or containers, or bottled or canned drinks.
Direct dialogue with residents is one of the four initiatives Lam proposed to mend social rifts during the continued anti-government protests, which have adversely affected the city's economy and people's livelihoods.
Before announcing the arrangement, the city's leader met with about 100 district councilors on Wednesday night. It was part of the government's effort to help the city move forward after more than three months of chaos and violence.
Lam, in her closing remarks before the meeting ended, said breaking the deadlock requires strict and impartial law enforcement as well as an open dialogue. The government intends to hear about the deep-seated issues in politics, economy and people's livelihoods that triggered and fueled the protracted chaos, Lam said.
Lam stressed that ""one country, two systems"" remains the cardinal principle in maintaining Hong Kong's prosperity and stability, and the rule of law is still one of the core values of the city. The government will always uphold the principle and the core value in handling social problems, she pledged.
The councilors called the two-hour meeting ""a good start"" to breaking the impasse.
After the meeting, Kwun Tong district Councilor Frankie Ngan Man-yu expressed the hope that the government would make such meetings routine.
He said the meeting laid a solid groundwork for the government's dialogue with the public.
Kowloon district Councilor Priscilla Leung Mei-fun advised the government to adopt a more proactive manner to end violence, such as introducing anti-mask legislation and establishing a designated court to handle riot cases. Leung made the comments in a speech at the meeting.
China Daily"
