title,text
HK chief Lam backs police force in rare media appearance ahead of planned protests,"Hong Kong Special Administrative Region (HKSAR) Chief Executive Carrie Lam Cheng Yuet-ngor on Saturday backed the city's police force, saying officers are not fighting alone, as anti-government forces are planning more protests for the weekend.

 In two rare media appearances, on Saturday morning, since protests broke out in June, Lam said the city's police have used appropriate force based on the needs in handling violent protests and that the HKSAR government fully supports the police officers. She also appealed for confidence in the city to get out of the current impasse soon.

 Full support

 ""We will not let the police force fight alone,"" she said in the interview with CRHK, noting that various government departments and leaders, including herself, all support the police force.

 Even though many have praised the city's police force for its professionalism and restraint in response to violent protesters, who constantly attacked officers both physically and verbally, there are also accusations of the so-called police brutality.

 Responding to the accusations, Lam said it was necessary for the police to use appropriate force in their law enforcement work and that accusations against police officers should be based on investigations rather than certain video footage.

 When an audience called-in during the program on RTHK and said with a shaking voice that his heart is broken seeing the society torn apart, Lam was also emotional.

 ""These events have made many people sad and raised doubts, including myself,"" she said but ""we all should have confidence and I hope we could get out of the current difficult situation as soon as possible.""

 The chief executive added that the decision of Chan Tong Kai to turn himself in, to Taiwan authorities, for his alleged involvement in the murder of his girlfriend on the island, is a relief and hopes it could bring an end to the case.

 Chan's case led the HKSAR government to propose a since-withdrawn extradition bill, which triggered the unrest, though protesters have made several other demands, including universal suffrage and probe into alleged police brutality, which some believe to be politically motivated and unrealistic.

 More protests

 However, even as Lam urged the Hong Kong society to end violence and start rebuilding the city, some continue to plan major protests for the weekend that police say could turn violent.

 Hong Kong police on Friday issued a letter of objection to a protest planned for Sunday, citing intelligence that predicts risks of violence and vandalism.

 Ho Yun-sing, district commander of Yau Tsim district police, told a press briefing on Friday that police have received intelligence about the possibility of violence stemming from the planned protest, including the use of offensive weapons such as petrol bombs and homemade explosives, thus endangering public security.

 He warned that participation in the planned protest would be deemed an ""unlawful act.""

 Organizers have appealed against the police decision on Saturday to a panel, the Appeal Board on Public Meetings and Processions, according to media reports.

 However, the HKSAR government is not taking any chances as it announced early closure of public facilities on Sunday in the vicinity of the planned protests.

 ""All facilities of Kowloon Park, the Hong Kong Cultural Centre, and the Hong Kong Space Museum in Yau Tsim Mong District will be closed at noon tomorrow to ensure the safety of venue users,"" the HKSAR Leisure and Cultural Services Department said on Saturday.

 The planned protests on Sunday followed a relatively calm week. On Friday night, some protesters formed a ""human chain"" in certain areas but there were no clashes reported. There were also no major protests planned for Saturday, unlike previous weekends - a sign of losing steam for the ill-intentioned political movement.

 However, the impact of the violent unrest over the past four months on the city's economy has started to show.

 The latest sign of the negative economic impact came as one of the city's oldest and largest trade expo had to make major adjustments to its time and prices due to the unrest.

 While the Hong Kong Brands and Products Expo will kick off on December 10 as planned, the length has been cut to 22 days from 24 days and the closing time has been changed to 6 pm instead of 10 pm, an organizer from the Chinese Manufacturers' Association of Hong Kong, said on Friday. The price for tickets was also cut to HK$8 from HK$12.

 ""Constantly escalating social events in Hong Kong over the past few months have seriously affected public transport network and posed an extremely huge challenge for holding any major outdoor expo,"" the association said, adding extra security personnel will be added to ensure security."
Violence takes its toll on Hong Kong tourism,"The recent protests in Hong Kong Special Administrative Region (SAR) have taken a substantial toll on the city's tourism and economy, Hong Kong media sources have said.

 The number of tourists coming to Hong Kong has dropped substantially since the protests broke out. In the first five days of August, the figure declined by 31 percent year-on-year, followed by a 33.4-percent decrease over the next five days.

 Paul Chan Mo-po, financial secretary of Hong Kong SAR, said on Aug. 21 that it had fallen to 40 percent between August 11 and 15.

 Many hotels in Hong Kong lowered their prices to entice tourists. For example, it costs between 200 to 500 Hong Kong dollars to book a double room in the downtown area this coming Saturday, about half of the regular price.

 The Hong Kong Federation of Trade Unions is concerned about the possible job cuts in the tourist industry if the riots continue.

 Considering the plummeting occupancy rate and food-service income, the InterContinental Hotel on the Tsim Sha Tsui waterfront sent an email to all employees asking them to take their annual or unpaid leave in August and September.

 The InterContinental Hotel is just one of the hotels to be affected by recent violence in the city. No matter whether we're talking about five-star hotels or cheaper hotels, the situation may continue to worsen, said an insider.

 On top of the blow to the tourism sector, Hong Kong's second-hand house market has also been hit hard. A 35-square-meter house in Fanling Town Center, one of the largest shopping arcades in Fanling, was recently sold for 4.8 million Hong Kong dollars, down 9 percent compared with the seller's asking price."
Hong Kong catering sector badly hit by violent protests,"Shops and restaurants in the Tsim Sha Tsui business district closed after a violent protest during a weekend in August which used to be the peak time for shoppers and diners. Photo: Chen Qingqing/GT

 Shops and restaurants in the Tsim Sha Tsui business district closed after a violent protest during a weekend in August which used to be the peak time for shoppers and diners. Photo: Chen Qingqing/GT

 Shops and restaurants in the Tsim Sha Tsui business district closed after a violent protest during a weekend in August which used to be the peak time for shoppers and diners. Photo: Chen Qingqing/GT

 The ongoing protests in Hong Kong have taken their toll on the city's catering industry, a local survey showed, and people in the sector said they have already felt the chill.

 The Eating Establishment Employees General Union of Hong Kong recently surveyed more than 500 restaurant employees and 90 percent of respondents said the restaurants they work for have been affected by the current social unrest in Hong Kong.

 A weakening global economy and a series of protests that have escalated to violent attacks since June have left many restaurant employees facing unprecedented challenges, according to a statement the union sent to the Global Times on Friday.

 The survey showed that 98 percent of respondents believed the protests were weighing on their businesses, and 47 percent said the revenue of their companies slumped more than 30 percent lately. The survey also found that 51 percent planned to cut jobs to tackle rising operational difficulties.

 The union said that during the past two months, it has handled dozens of cases of restaurant closures. These restaurants were located in various parts of the city and the closures involved more than 700 people and led to the losses of nearly millions of Hong Kong dollars.

 A businessman who runs a clay pot rice restaurant in Mong Kok told the Global Times that summer is usually the peak tourism season, and many tourists used to line up at his restaurant every night until 10 pm.

 ""It's very disappointing this year, you can see. We close the doors around 9 pm as we receive very few people every night now,"" he said.

 During the weekends, the restaurant has to shut its doors even earlier, as black-clad protesters come to the neighborhood and illegally occupy the streets, which has led to a series of intense standoffs with police.

 Xie Yanli works at a restaurant in Mong Kok. She has been a waitress for more than 10 years. She said that she has been affected due to the decline in business caused by the protests.

 In the past, customers would have to line up outside her restaurant at peak times, but now the average daily revenue of her restaurant is less than the lunch time earnings in the past.

 Xie told the Global Times that she used to take one day off per week, but now she has to take two or three days off given the uncertainties.

 ""Sluggish business across the industry has forced many people to leave, pushing up the unemployment rate. However, many youngsters do not realize this and do not value what they have got,"" Xie said.

 Hong Kong's economic growth is mainly driven by the services sector. As one of the pillars in the services sector, catering is facing an unemployment crisis due to the anti-government movement.

 From May to July, the unemployment rate in the restaurant business reached 5 percent, involving 12,900 people. This was much higher than the city's overall unemployment rate of 2.9 percent, making it the sector with the highest unemployment rate, the statement showed.

 The union said it considers the current situation to be the worst ever seen, and it called for the restoration of peace and normality.

 Moreover, the sweeping protests have also cast a shadow on other sectors such as retail.

 A man in his 50s has run a retail stall at Victoria Harbour for more than 10 years. He told the Global Times that most of the tourists he sees are from the Chinese mainland, but since the massive protests began in late June, few people are coming.

 He said that his daily sales have dropped nearly two thirds, from almost HK$2,000 ($255) to only about HK$700, 30 percent of which is his net income.

 ""We are the victims, but we cannot do anything about it,"" he said.

 A salesperson at a Chow Tai Fook store on Nathan Road, the main artery of the bustling Tsim Sha Tsui shopping area, told the Global Times that the store would definitely close earlier if there is a violent protest. The store normally closes at 10 pm."
Unrest-hit Hong Kong outlaws wearing masks in protests,"Chief Executive of China's Hong Kong Special Administrative Region (HKSAR) Carrie Lam attends a press conference in Hong Kong, south China, Oct. 4, 2019. HKSAR government on Friday established an anti-mask law in the latest drive to end the prolonged violence. Lam told the press conference that the government has invoked the power under the Emergency Regulations Ordinance and made a new regulation in the name of Prohibition on Face-Covering Regulation, to ""create a deterrent effect against masked, violent protesters and rioters."" The ban, designed to end violence and restore order, will come into effect on Friday midnight, Lam said. (Xinhua/Lui Siu Wai)

 HONG KONG, Oct. 4 (Xinhua) -- The government of China's Hong Kong Special Administrative Region (HKSAR) on Friday established an anti-mask law in the latest drive to end the prolonged violence.

 HKSAR Chief Executive Carrie Lam told a press conference that the government has invoked the power under the Emergency Regulations Ordinance and passed the Prohibition on Face Covering Regulation to ""create a deterrent effect against masked, violent protesters and rioters.""

 The ban, designed to end violence and restore order, will come into effect on Saturday, Lam said.

 The move added Hong Kong to the list of countries and regions that have anti-mask legislations, including France, Canada and many states in the United States.

 Unrest has raged for more than three months in Hong Kong as radical protesters, often black-clad and masked, set fires on streets, vandalized public facilities including metro stations, and assaulted police, civilians and businesses.

 Lam said violence has escalated to a very alarming level in the past few days, causing numerous injuries, and ""leading Hong Kong to a chaotic and panic situation,"" with more participation of students.

 About 1,100 people have been injured in recent violent incidents, including over 300 law enforcers, according to Lam.

 Although the emergency ordinance has been invoked, Lam stressed that Hong Kong is not in a state of emergency. However, she stated Hong Kong is in extensive and serious public danger. ""It is essential for us to stop violence and restore calmness in society as soon as possible.""

 Elaborating on the new regulation, Secretary for Security John Lee said masks will be banned in assemblies and processions, authorized or not, as well as riots, and offenders are liable to imprisonment of up to one year and a fine as much as 25,000 Hong Kong dollars (nearly 3,200 U.S. dollars).

 People who have to wear a mask for special needs, including for medical, health and religious reasons, will be applicable to exemption clauses, according to the government gazette.

 Advocates for the ban said masks have been used by rioters to conceal identities and escape legal penalties in the drawn-out unrest, leading to a higher level of aggression on their part.

 ""Many police officers and residents were injured in the escalated violence, but the police could not bring all rioters to justice as most of them wore masks to hide identities,"" said Elsie Leung, former secretary for justice of the HKSAR government.

 ""It is the right thing that should be done,"" Leung said, adding that the introduction of the law is in line with the Basic Law and the Hong Kong Bill of Rights Ordinance.

 Barrister Ronny Tong, a member of the HKSAR's Executive Council, said legal weapons are now needed to quell the mob violence, which escalated on Tuesday and resulted in a 18-year-old rioter being shot and injured while assaulting a police officer.

 Tong called for public understandings that the anti-mask law is not meant to encroach the freedoms of speech and assembly and has no impact on law-abiding citizens.

 The anti-mask law, as a piece of subsidiary legislation subject to a negative vetting, will be firstly established and then tabled in the Hong Kong Legislative Council (LegCo) for discussion. The meeting of the LegCo will be resumed on Oct. 16."
US interference in Hong Kong affairs intolerable,"A series of large-scale demonstrations have broken out in the Hong Kong Special Administrative Region (SAR) since June, and quite a number of them have gone far beyond peaceful protests, causing outrageous violence and disruptions.

 The radical demonstrators besieged and stormed into the Liaison Office of the Central People's Government in the Hong Kong SAR, vandalized facilities, and insulted the national flag and emblem, and the regional emblem of the Hong Kong SAR.

 The radical forces also attacked journalists and travelers, and assaulted police officers. The violent acts have severely undermined the rule of law, disrupted social order, and hurt Hong Kong’s economy and people’s well-being, as well as the city’s global image.

 Such vicious acts have blatantly challenged the authority of the central government, touched the bottom line of the principle of ""one country, two systems,"" and underestimated the strong determination of the 1.4 billion Chinese people, including the Hong Kong compatriots, to safeguard the country’s national unity and territory and sovereignty integrity.

 Some US politicians played a role behind the escalation of the Hong Kong violent incidents. They made irresponsible remarks on Hong Kong affairs, called white black and trampled on international rules and the conscience of mankind.

 They called the violent demonstrations in Hong Kong “a beautiful sight to behold”, described the violent crimes as efforts to pursue human rights and freedom, frequently met with anti-China rioters, lodged groundless accusations against the central government and the Hong Kong SAR government, incited violence and confrontation, and openly supported illegal forces.

 Such acts of meddling in Hong Kong affairs are flagrant interference in China’s internal affairs, an infringement of the international law and norms in international relations, and obvious hegemonism. It is exactly under the support of certain US politicians that the radical and opposition forces have grown more hostile.

 Hong Kong is a part of China and its fate is closely tied to its motherland. In the past 22 years since Hong Kong’s return to China, the “one country, two systems” framework has been widely acknowledged as a successful practice in Hong Kong. Last year, the gross domestic product in Hong Kong reached $360 billion, over twice of the 1996 figure. The number of visitors to Hong Kong soared to more than 65 million, over six times that of 1997.

 Hong Kong has been recognized as a global center of finance, trade and shipping. It ranks among the top in the world by various economic and social development indicators. With the construction of the Belt and Road Initiative and the Guangdong-Hong Kong-Macao Greater Bay Area, Hong Kong will embrace new development opportunities.

 Hong Kong’s future lies only with China, as British scholar Martin Jacques noted. China’s fast and sustained development has provided valuable opportunities, inexhaustible driving force and vast space for Hong Kong. Hong Kong’s future depends on fully and faithfully implementing the principle of “one country, two systems” and the Basic Law, actively participating in the country’s development and sharing the development outcomes.

 Stopping violence and restoring social order meets the expectation of people. Certain evil-minded people in the US played dirty tricks, but the fact will prove that their attempt to ruin China and roil Hong Kong will in no way succeed.

 The Chinese government and the Chinese people have the confidence and capability to firmly safeguard national sovereignty, security and unity and protect Hong Kong’s prosperity and stability. Any acts that challenge the bottom line of the “one country, two systems” principle will never be tolerated."
Hong Kong protests: The unseen truth ignored by biased media,"As violence erupted on a 12-consecutive weekend in Hong Kong, a picture showing a large group of journalists cornering a solitary police officer while indifferent to the nearby chaos went viral online, helping the public see the truth hidden behind biased cameras.

 Initially published by People’s Daily on its Sina Weibo on Aug. 24, the picture was taken right after thousands of protestors gathered in Kowloon, vandalizing smart lampposts, as well as attacking local police officers using iron bars and bricks.

 In the picture, a police officer was taking notice of the ongoing violent attacks at a street corner, holding his gun; while dozens of journalists, without paying the slightest attention to the nearby vandalism and mobs, surrounded the police officer and casted their flashlight only on him.

 Some Hong Kong media outlets later depicted the police officer as “the riot police officer who aims at protestors.” Ironically, as if coordinated, they all brushed aside or downplayed the mobs’ violent attacks.

 The picture is not the sole evidence of their biased reports on Hong Kong. Western media outlets, for instance, The Guardian, published an article on Aug. 24 about the latest violence in Hong Kong. Large-hearted on the mobs’ violence, the article used “HK riot police beat protestors” as its eye-catching headline, while to the similar protest that happened in Portland, US, on Aug. 17, media simply downplayed the fact that police in the US also arrested some protestors, adding that the protests led to “sporadic violence.”

 Due to biased media’s continuous efforts to tarnish the image of Hong Kong police, as well as underestimating the severity and truth of the mobs’ violence, Hong Kong police, once the heroes protecting the city’s security and stability, have become the prey of some unscrupulous media, with their justified moves criticized, and their family members threatened.

 During an interview with People’s Daily Online, Martin Jacques, a research fellow at Cambridge University, said that media outlets in the UK have been overwhelming pro-demonstrations and against both the HKSAR and the Chinese central government.

 “I think the Western attitude is definitely encouraging the opposition in Hong Kong, because I think the demonstrators are essentially their audience. The audience they have in mind are actually the western audience,” he said.

 Even the public in Hong Kong have arranged several protests in response to the media bias. According to Sing Tao Daily, many Hong Kong residents arranged rally on Aug.13, calling for unbiased reports from local media and stressing that media should be neutral in their reporting."
"Hong Kong's anti-mask law a necessary move for social stability, experts say","BEIJING, Oct. 5 (Xinhua) -- It is necessary for the government of China's Hong Kong Special Administrative Region (HKSAR) to establish on Friday an anti-mask law in its latest bid to end the prolonged violence, experts and overseas Chinese worldwide said.

 HKSAR Chief Executive Carrie Lam confirmed that her government has invoked the power under the Emergency Regulations Ordinance and passed the Prohibition on Face Covering Regulation. The ban, designed to end violence and restore order, will come into effect on Saturday.

 Hugh H. Mo, former deputy police commissioner of the New York City Police Department (NYPD), said such a move by the HKSAR government is necessary, adding that the purpose of the violent protesters in Hong Kong is to confront police, not to protest in peace, and these people would have been arrested if they were in New York.

 He also noted that many U.S. states have similar laws, and so does New York City.

 ""A certain part of the protesters deliberately commit unlawful actions. In such a case, it is the most beneficial for them to remain anonymous,"" Russian political analyst Yury Svetov said.

 ""If you hide your face, then you understand perfectly well that what you are going to commit is something illegal,"" he said, adding that the covering of faces to hide rioters' identity must be forbidden by law.

 Pierre Picquart, a China expert at the University of Paris VIII, said the face-covering rioters in Hong Kong have used violence to attack police, disrupted social order, and wreaked havoc on local businesses, enterprises and communities.

 He also said that it is always necessary in all countries worldwide to protect government bodies, citizens and public properties, and to maintain public order.

 Deng Zhuting, president of London Chinatown Chinese Association, said he firmly supports such a legislation, and believes that the HKSAR government can use the anti-mask legislation to end chaos and restore tranquility and prosperity in the city."
CE Carrie Lam says 'clear-cut no' to resignation talk,"HONG KONG - Hong Kong Chief Executive Carrie Lam Cheng Yuet-ngor firmly refuted Tuesday media reports hinting at her broaching the subject of possible resignation in a private conversation.

 Speaking to reporters ahead of the weekly meeting of her Executive Council, Lam said: ""From the beginning till now, I have never tendered my resignation to the Central People's Government.""

 Lam reaffirmed that she had never contemplated resigning as she took questions from reporters. ""Let me say it in a clear-cut manner: No,"" Lam said.

 In an unambiguous message, the CE said: ""In a private session, I just attempted to explain, as an individual, given the very difficult circumstances, it (resignation) might be an easy choice to make. But I told myself repeatedly in the last few months that I and my team should stay on to help Hong Kong in a very difficult situation and serve the people of Hong Kong. That remains my position.""

 The CE began her press meet by urging protesters to desist from disrupting train services.

 During the past weekend, riotous mobs vandalized the city’s public transportation systems, and the traffic around the airport and Tung Chung was put to a standstill.

 Hong Kong Chief Executive Carrie Lam Cheng Yuet-ngor meets the press ahead of an Executive Council meeting in Hong Kong on Sept 3, 2019. [PARKER ZHENG / CHINA DAILY]

 While appealing to protesters not to sabotage railways, Lam thanked MTR staff for resuming the metro services shortly after the illegal acts of vandalism.

 She apologized to travelers affected by protests, asking them to keep visiting Hong Kong and continuing to do their businesses in the Asian financial hub.

 Thanking teachers for their hard work, the CE said the start of the new school year had been smooth despite the turbulence over summer.

 She said Hong Kong is confronted with an economic downturn, and therefore it is time to put aside disputes and work together to save Hong Kong out of the current predicament."
Hong Kong riots wouldn't take place without Western support: Russian expert,"The violent protests in Hong Kong are, in essence, a continuation of pressure on China exerted by certain Western countries, Grigory Trofimchuk, a Russian expert in the field of foreign policy, defense and security, said in a recent interview with People's Daily Online.

 Trofimchuk believes that the riots taking place in Hong Kong began with protectionism provoked by the United States a few years ago. In his opinion, the purpose of certain western countries to support Hong Kong violence is to test China's reaction and provoke the Chinese government into making a harsh response.

 However, the Chinese government has responded to the riots appropriately within the framework of the law, curbing the momentum of destructive provocation.

 The violent behavior of the rioters, including attacking police stations and police officers on August 24, is proof that the agenda of those who wanted to destabilize Hong Kong will not succeed, Trofimchuk said.

 Because of this, radical forces chose to escalate the violence by attacking reporters to garner more extensive attention from international media, he added.

 The Chinese government allows people in Hong Kong to express their opinions under the framework of the law. As the rioters have caused chaos in Hong Kong and undermined the city's stability, the police must take action to end violence.

 The Hong Kong violence wouldn't happen without the support of Western countries, Trofimchuk said. Such large-scale actions are inseparable from careful organization, unified requirements and long-term financial support."
"Over 470,000 people in Hong Kong say ""no"" to violence","People from all walks of life take part in a rally to voice their opposition to violence and call for restoring social order, expressing the people's common will to protect and save the city at Tamar Park in south China's Hong Kong, Aug. 17, 2019. (Xinhua/Lui Siu Wai) 

 HONG KONG, Aug. 17 (Xinhua) -- ""Anti-violence!"", ""Save Hong Kong!"" Over 470,000 people gathered on Saturday in a rally held at Tamar Park, Admiralty of Hong Kong, to voice out their demand for peace and stability in Hong Kong.

 At around 4 p.m. local time, the metro station near Tamar Park was swarming with people. An hour later, the rally started as the Chinese national anthem was ringing out.

 Waving the Chinese national flag and the flag of the Hong Kong Special Administrative Region (HKSAR) and holding signs written with slogans including ""Stop Riots"", ""Anti-violence"" and ""Save Hong Kong"", the crowd was enthusiastic and impassioned despite the rain. They chanted the slogans to express their views.

 At the beginning of the rally, a video was played, featuring a recording of a policeman's wife who spoke, choking back sobs, of how violent protesters stormed the police stations and attacked the police. She appealed to the public to support the police and Hong Kong during this difficult time. ""Police, keep it up!"", ""Save Hong Kong!"" the crowd cried out at the end of the video.

 Tam Yiu-chung, a member of the Standing Committee of China's National People's Congress, called upon people from all walks of life to firmly oppose violence.

 The national flag and emblem represent the dignity of the country, and those who insult the national flag and emblem are turning themselves into enemies of the people in the whole country, Tam added.

 Rebuking the recent illegal assemblies and violent acts at Hong Kong International Airport as ""the ugliest riot in the world"", Maria Tam Wai-chu deputy director of the National People's Congress Standing Committee Basic Law Committee from Hong Kong, stressed that everyone should respect the freedoms of others and the exercise of freedom does not include wanton destruction of public properties or obstruction of public transport.

 Wong Kam-leung, chairman of Hong Kong Federation of Education Workers, said that the violence in Hong Kong has been escalating over the past two months and he was distressed to see young people using force and violating laws.

 He called on the young people to ""stop and think twice"" before engaging in violent or illegal acts.

 A 57-year-old gardener surnamed Chan said sometimes she could not go to work because radical demonstrators disrupted the traffic, ""which was very annoying.""

 ""Hong Kong has always been a peaceful society. I hope the extremist radicals stop violent acts so that people can return to peaceful life,"" she said.

 A finance professional surnamed Lee said his business has been badly hit by the illegal demonstrations since many of his clients are too concerned to invest in Hong Kong.

 ""The common aspiration of the overwhelming majority of people in Hong Kong is that the violence and chaos will stop soon. Our community has been torn apart and can not afford any more of it,"" he said. ""We urge the demonstrators and mobs to stop it immediately; otherwise, the whole community has to pay for the consequences.""

 A local resident, Wendy, a mother of a young boy, told the reporter that her life was largely affected by the violent protests going on in the recent two months.

 ""For the sake of our future generations and Hong Kong getting back on track, we refuse to be in silence, we must let the world hear our voice,"" she said firmly.

 The assembly ended at around 6 p.m. local time, with the participants singing the chorus Below the Lion Rock, a famous song in Hong Kong that represents the spirit of unity and hard-working."
