title,text
Hong Kong police arrest 148 suspects in Monday's operations,"HONG KONG, Aug. 6 (Xinhua) -- The Hong Kong police said on Tuesday that they have arrested 148 people during Monday's operations.
The detainees consist of 95 males and 53 females, four of whom have been charged, said the police at a press briefing.
The suspects were arrested for various offenses including unlawful assembly, assaulting police and possession of offensive weapons.
On Monday, protesters destroyed a total of 117 traffic lights and blocked several main routes in Hong Kong. The police accused the protesters of engaging in ""extremely violent behaviors,"" which will not be tolerated.
The police said seven police personnel were injured during Monday's operations.
At the press briefing on Monday, the Hong Kong police said that they had arrested 420 people during a series of protests and clashes between June 9 and Aug. 5. They were charged with taking part in riot, unlawful assembly, assaulting police and other offensives."
Hong Kong's business activity sees steepest fall since 2008 financial crisis: IHS Markit,"HONG KONG, Sept. 4 (Xinhua) -- Decline of business activities in Hong Kong accelerated in August to near-record levels as protests continue to dampen demand, London-based consulting firm IHS Markit reported Wednesday.
Hong Kong's Purchasing Manager's Index (PMI) sank to 40.8 in August, down from 43.8 in July, signaling the steepest deterioration in the health of the private sector since February 2009, according to IHS Markit's PMI survey.
The only other time that the PMI survey has recorded a steeper downturn was during the SARS epidemic in 2003 and the global financial crisis in 2008, said Bernard Aw, principal economist at IHS Markit.
PMI is a composite single-figure indicator of economic performance derived from indicators for new orders, output, employment, suppliers' delivery times and stocks of purchases. Figures greater than 50 indicate overall improvement of the economy.
Almost all aspects surveyed for the PMI indicator were worsening in Hong Kong with widespread pessimism and record-low business confidence, according to the report.
""The latest PMI data reveal a Hong Kong economy flirting with recession in the third quarter as business activity is increasingly aggravated by protest-related paralysis,"" Bernard Aw added."
"China lashes out at U.S. politicians for indulging, supporting anti-China disruptors in HK","BEIJING, Sept. 11 (Xinhua) -- It is because of the indulgence and support by some U.S. politicians that the anti-China disruptors in Hong Kong are so reckless and unscrupulous, a Chinese Foreign Ministry spokesperson said Wednesday, demanding them stop condoning violent criminal offenses and stop meddling in Hong Kong affairs immediately.
Some U.S. lawmakers submitted a bill to the Congress on Tuesday, calling for a suspension of sales of law enforcement equipment by U.S. companies to Hong Kong because they claimed that the police in Hong Kong have been widely criticized for what they did to the protesters. The law enforcement equipment includes tear gas, pepper spray and rubber bullets.
In response, Chinese Foreign Ministry spokesperson Hua Chunying said: ""I wonder if the U.S. Congressmen want to save these anti-riot equipment to deal with problems at home?""
Speaking at a daily news briefing, Hua said that with regard to what happened in Hong Kong recently, the facts are clear.
More and more mainstream international media have reported the true situation in Hong Kong with on-site coverage. ""For example, I just saw many high-resolution photos released by some Russian media, depicting demonstrators' weapons like umbrellas with knives and barbs hidden inside and gasoline bombs,"" she said.
The reports said that some were carrying out terrorist and criminal activities under the cover of freedom and democracy, and the root cause of Hong Kong's violence and chaos lies with the malicious forces behind the scene. The so-called press freedom in Hong Kong is nearing absurdity, according to the reports.
""I would like to ask those U.S. lawmakers, when the violent extremists in Hong Kong brutally assaulted and injured the police and brought public facilities like the airport and subway to a standstill, where is the rule of law that you claim to advocate? When personal information of more than 1,000 police officers and their families were illegally exposed and they were targeted by crazy cyber bullying and threats, where are the human rights that you claim to champion? When people holding different views were chased, surrounded and beaten by black-clad demonstrators wearing masks, where is the freedom you claim to stand for?"" she said.
Hua pointed out that some U.S. lawmakers are beautifying the violent criminal offenses as fight for human rights and freedom. At the same time, they are defaming Hong Kong police by calling their forbearance and restraint ""overuse of force.""
""There is no worse insult to freedom, democracy and human rights than this. It is open disregard for the mainstream public opinion of ending violence and chaos and restoring order, and it exposes their stark hypocrisy and double standard,"" she said.
""How did the U.S. police handle demonstrations? I believe many have vivid memories of the 2011 Occupy Wall Street movement, the 2015 unrest in Baltimore, Maryland, as well as the recent demonstrations in Portland, Oregon. If the scenes in Hong Kong were to appear in the U.S., would the U.S. lawmakers still be so 'kind'? We are curious to see,"" she said.
""It is because of the indulgence and support by some U.S. politicians that the anti-China disruptors in Hong Kong are so reckless and unscrupulous,"" Hua said.
She said that at a recent press conference on the situation in Hong Kong, Spokesperson Yang Guang of the State Council Hong Kong and Macao Affairs Office quoted Man Jiang Hong (a classical Chinese poem) composed by Chairman Mao Zedong in 1963.
""Today I would like to add the following two lines: The ants climbing up a locust tree congratulate themselves for running a great empire, but it won't be easy for them to shake the tree,"" Hua said.
""I will reiterate that Hong Kong affairs are purely China's internal affairs. No foreign government, organization or individual has any right to interfere. Those playing with fire on this issue will end up getting burned themselves,"" she said.
""We advise certain people in the U.S. to stop pretending to be asleep, stop condoning violent criminal offenses, and stop meddling in Hong Kong affairs immediately,"" she added."
"Quotes of the Day from Xinhua World News, Aug. 17","WASHINGTON -- U.S. President Donald Trump on Friday floated the possibility of a deal with the Taliban after a meeting with senior advisors on Afghan issues.
""Just completed a very good meeting on Afghanistan. Many on the opposite side of this 19 year war, and us, are looking to make a deal -- if possible!"" Trump tweeted on Friday evening.
- - - -
PYONGYANG -- Kim Jong Un, top leader of the Democratic People's Republic of Korea (DPRK), stressed on Saturday the need to keep channeling all-state efforts and render unreserved support to the sacred national defence building ""so as to reliably guarantee the sovereignty and security of the country and the happy future of the people,"" according to KCNA.
The report said the national defense scientists, whom Kim praised for having developed the weapon in a ""shortest span of time,"" showed ""a perfect result"" in the test-fire and helped boost confidence in this weapon system. But it did not elaborate what kind of new weapon it was.
- - - -
HONG KONG -- A senior Hong Kong police officer said on Friday that the police will not use force if they do not face violent attacks by protesters.
Yeung Man-pun, commander of Kowloon City District, made the remarks at a press briefing when replying a question concerning the police's handling of the protests in the past two months.
- - - - 
BRUSSELS -- The Ministry of Foreign Affairs of the Government of Greenland said on Friday that the island is ""not up for sale"" after U.S. President Donald Trump's reported interest to buy the island was widely ridiculed.
""Greenland is rich in valuable resources such as minerals, the purest water and ice, fish stocks, seafood, renewable energy and is a new frontier for adventure tourism. We're open for business, not for sale,"" the ministry said on its official twitter account."
"Feature: In Chaos, some young people sing a different tune in Hong Kong","by Xinhua writers Bai Xu, Yao Yuan and Ding Ziyi
HONG KONG, Oct. 2 (Xinhua) -- When black-clad radicals went on rampage in Hong Kong to vandalize facilities and torch the Chinese national flag, there were youngsters here who braved the hostility to compose a patriotic song.
""Tribulation of the past, brewing a thousand years of soil; in glory there flow blood and sweat from toil,"" Ting Ching-hoi and his band Hody-Listen wrote in ""The Republican Land"", which they dedicated as a gift to the 70th founding anniversary of the People's Republic of China.
""With the song I would like to send a message that there are lots of young people in Hong Kong who love our country dearly,"" he told Xinhua.
Ting admitted that composing a patriotic song was not easy now, given the current situation.
The ongoing unrest and violent acts have been rocking the Asian trading and financial hub for more than three months, posing serious threat to the safety of members of the public, and they have also seriously undermined social order.
""I was saddened by what happened in the past weeks and also by the fact that quite a few young people in Hong Kong have such a biased opinion of the (Chinese) mainland,"" Ting said. ""So it occurred to me that maybe I could do something.""
Xinhua talked to many young people here recently and found that although some watch Douyin, or Tik Tok, a social media video app for creating and sharing short video footage, while others use Alibaba's online shopping platforms such as Taobao, their understanding of the country appeared to be limited.
""My guitarist William Lee used to have misunderstanding about China,"" Ting Ching-hoi said. ""By doing research before composing the song, his perception changed a lot.""
Before Lee embarked on his first visit to the mainland last year, his mother was so nervous that she offered to buy him a life insurance. But her perception was later changed by Lee as well.
""Students in Hong Kong do not know much about the (Chinese) mainland, because history was just an optional subject in middle schools,"" Ting said. ""Many would not choose the course, because it wouldn't help them find a good job in the future.""
In October 2017, Carrie Lam, chief executive of the Hong Kong Special Administrative Region, announced the Chinese history to become an independent compulsory subject for junior high students, starting in the 2018/19 school year.
Before that, teachers would normally encourage students to learn more about the contemporary society in the course of ""liberal studies"".
Ting recalled when he had the course in middle school, one chapter was about self identity.
""We were asked to choose from being 'a Hong Konger in China', 'a Chinese in Hong Kong', and 'a British in Hong Kong', etc. And we were told that there is no right answer.""
This is different from even the West, where students would learn about their countries at a young age, and sing the national anthem on various occasions including regular school assemblies, Ting said.
In the interviews, some Hong Kong teachers and principals, who refused to be named for fear of being attacked by radical protesters, admitted that the education is flawed.
A senior teacher, who was the head of a liberal studies panel in a secondary school, said that the subject was initially designed to encourage students to read news and pay more attention to politics.
""Since there is no uniform textbook, schools and teachers have to search for their own teaching material,"" he said. ""So the position of a school as well as a teacher's own judgement can largely affect their teaching.""
Another expert of liberal studies told Xinhua on condition of anonymity that to save time, some teachers would grab something most handy, such as media reports.
""If reports are biased, how could the teachers remain objective?"" he asked.
A college teacher showed Xinhua the websites they normally use to collect teaching information. After browsing the websites, Xinhua reporters found that the articles about the Chinese mainland were largely negative, such as vaccine scandal, smog and growing urban waste.
Yau Yat, a historian, pointed out that some media in Hong Kong like to feast on negative reports of the mainland. ""If all the things students discussed are negative, they would form a perception and grow up with bias,"" he said.
His worries were by no means unfounded.
A 17-year-old middle school student surnamed Chou was among the protesters. ""They say if I don't join them (to protest against the proposed ordinance amendments concerning fugitive offenders transfers), in the future when I say something improper, I will be thrown into jail in the mainland,"" she said, citing media reports she read in liberal studies class to justify her view.
Ting said he always suggested his friends actually go to the mainland to have a look. ""Seeing is believing.""
He is currently working on another song, ""1842"", which tells the history of Hong Kong being separated from China under the Treaty of Nanking.
Some friends kindly warned him to be careful so as not to be attacked by radical protesters.
""Wherever we go, we have but one motherland,"" Ting said. He hoped that his songs could be inspirational to the young people in Hong Kong.
""Make your appeals in a rational way and work hard for the future of Hong Kong and the motherland. That's the real meaningful thing,"" said he. (Xinhua reporters Wang Xin, Annie Cheung and Zhao Ruixi contributed to the story.)"
"Quotes of the Day from Xinhua World News, Oct. 17","BRUSSELS, Oct. 17 (Xinhua) -- The European Union (EU) and Britain have reached a new Brexit deal, Jean-Claude Juncker, president of the European Commission, said Thursday on Twitter.
""Where there is a will, there is a #deal - we have one! It's a fair and balanced agreement for the EU and the UK and it is a testament to our commitment to find solutions,"" said Juncker hours before the EU summit.
- - - -
LOS ANGELES -- Three Chinese-themed films -- ""Ne Zha,"" ""White Snake"" and ""Abominable"" -- are among a record 32 features submitted for consideration in the Animated Feature Film category for the 92nd Academy Awards, the Academy of Motion Picture Arts and Sciences (AMPAS) announced Wednesday.
""Submitted features must fulfill the theatrical release requirements and comply with all of the category's other qualifying rules before they can advance in the nominations voting process,"" the AMPAS said in a statement, adding that films submitted in the category also qualify for Academy Awards in other categories, including Best Picture.
- - - -
BEIJING -- The U.S. government is giving ""false signals of assurance and support"" to violent protesters in China's Hong Kong, Sourabh Gupta, a senior fellow at the Washington-based Institute for China-America Studies, told Xinhua in a written interview.
""With regard to the U.S. role, it has been deeply unhelpful,"" Gupta said after the U.S. House of Representatives on Tuesday passed the so-called Hong Kong Human Rights and Democracy Act of 2019.
""The real problem has been the U.S. veiled intentions: to first stir the pot, and thereafter to fan the flames of protest by providing oxygen to the worst political and militant elements within the protest movement,"" he said.
- - - -
WASHINGTON -- U.S. President Donald Trump on Wednesday threatened that Ankara will face ""devastating"" sanctions if high-level discussions between the two sides do not ""work it out.""
""I think they'll have a successful meeting,"" said Trump at the White House in a joint press conference with visiting Italian President Sergio Mattarella, referring to Vice President Mike Pence's meeting with Turkish President Recep Tayyip Erdogan scheduled for Thursday.
""If they don't, the sanctions and tariffs and other things that we're doing -- we will do and are doing to Turkey -- will be devastating to Turkey's economy,"" Trump added."
"Xinhua Headlines: Zoom in on cyber platforms that spread ""black terror"" in Hong Kong","HONG KONG, Oct. 30 (Xinhua) -- Amid increasingly ugly violence by black-clad rioters in Hong Kong since June, some online platforms have become places where riots are plotted, rumors are spread and ""black terror"" is nurtured.
Among them, the encrypted instant messaging app Telegram and online forum LIHKG are considered the most notorious ones, cashing in on Hong Kong's plight as radicals feast on a plethora of incendiary calls, obscenities, and tutorials on committing crimes.
INCUBATOR FOR VIOLENCE
Rioters mainly use Telegram for plotting and communication, and LIHKG for generating rallying cries and other propaganda to glorify violence.
It took as little as a few days or even hours to materialize a rioting activity by using Telegram and LIHKG.
Certain procedures were followed: Before riots started, organizers would release offensive tactics, including assigning roles, positions and equipment to participants; as riots began, they would monitor police deployment and operations in real-time and prepare backup resources and emergency responses for potential arrests; and after the riots, they had vehicles ready to pick up the key frontline rioters.
Sources said Telegram served as the leading platform for ""inner circle decision-making"" for demonstrators to receive instructions and make action plans, while LIHKG is used mainly for ""outer circle decision-making"" to mobilize the vast number of netizens and demonstrators with action initiatives.
The core decision-making group on Telegram is, in fact, radicals' command center of the so-called ""spontaneous"" protests.
On Telegram, small groups were created to monitor police movements, collect and distribute materials, study how to deal with the Hong Kong Special Administrative Region (HKSAR) government and the police, dox personal and family information of police officers, and recruit propaganda personnel.
They continuously came up with action plans via different groups or channels on Telegram and LIHKG, set the direction and agenda for the demonstrations, and then instigated more people and netizens to participate.
As a protest or a riot unfolded, Telegram was then widely used for real-time contact, instant sharing and spreading instructions and other related information among different groups on the two platforms to support on-site demonstrators.
For their online propaganda, demonstrators used multiple languages to glorify themselves and defame the police.
A propaganda advisory group involving foreigners is active on Telegram to help demonstrators modify their slogans and other propaganda materials.
After wreaking havoc, organizers and participants would poll on LIHKG to assess its effects and adjust their tactics accordingly. Some recounted their own experience, telling others the do's and don'ts. Some drummed up statements to agitate the public for the next round of escalated actions.
ONLINE TRAINING CAMP
While used by radicals to plot violence, Telegram and LIHKG have also become the online training camp for rioters, with substantial posts and how-to manuals inciting violence.
Telegram and LIHKG are flooded with illustrations and videos from overseas teaching radicals how to make and use Molotov cocktails, smoke bombs, projectiles with corrosive powder or liquid, giant slingshots and homemade bombs and other homemade weapons.
In a series of raids, Hong Kong police have busted several cases related to bomb-making in recent months.
Besides posts about weapon-making techniques, Telegram and LIHKG also provide platforms for rioters to organize and receive training before taking to the streets.
For example, a post on LIHKG analyzed the riot control tactics of the law enforcement forces, with elaborate illustrations and videos of crowd control training, to help rioters fight the police and avoid arrests.
Telegram groups and channels are also full of posts recruiting people to take part in fight training taught by foreign trainers, or advocating vandalism and vigilante attacks on those who have differing opinions.
These online tutorials soon became crimes on the street.
Advocated techniques were widely used by rioters on the ground to assault police officers and police stations.
On Oct. 1, a rioter used an iron pipe to hit the right arm of a police officer who had pulled out a gun as a warning. The attack was exactly one of the tactics so-called ""experts"" on LIHKG teach on assaulting police.
In another attack on Oct. 13, a rioter slashed the neck of a police officer from behind with a box cutter, which resembled the methods for cut-throat attacks introduced on LIHKG.
CATALYST FOR SOCIAL RESENTMENT
Since June, as violence in Hong Kong intensifies, the Hong Kong police force has become animosity targets. A large number of frontline police officers and their families became victims of cyberbullying.
Privacy information of more than 2,600 officers and their families, illegally obtained, has been disclosed in detail on Telegram, LIHKG and other social media, including their home address, names of their spouses, and schools of their children, according to the Hong Kong police.
Threats against police officers like ""kill their whole family"" and ""their wives and children will be harmed"" are all over the two platforms, while radicals instigated harassment, cyberbullying or even attacks.
In the prolonged chaos, rumors were cooked up and spread on Telegram and LIHKG to glorify violent acts, defame police officers, and disseminate misinformation and hatred against police.
Numerous rumors targeting the police proved to be pure malicious slanders, such as so-called ""undercover police officers hurling petrol bombs"" or ""officers beating protesters to death in Prince Edward Station on Aug. 31.""
When rioters plotted violence or disseminated rumors via Telegram or LIHKG, they intentionally used anonymity or pseudonyms to hide their identities.
CALLS FOR LEGAL REGULATION
Under Hong Kong's Crimes Ordinance, a seditious intention, such as bringing hatred or contempt against the government, promoting feelings of ill-will and enmity between different classes of the population, or inciting violence, is liable to imprisonment once convicted.
""Cyberspace should also be subject to legal regulation. The premise of a free market is that everyone abides by the law,"" said Leung Mei-fun, a member of the HKSAR Legislative Council.
She noted that Hong Kong has enough legal basis for punishment, referring to certain recent law-violating online content that abets crimes or teaches how to make bombs.
The rule of law is the cornerstone of Hong Kong's success, experts said, adding that relevant ordinance applies to cyberspace too and any law violation must be investigated, regardless of whether it is online or offline.
Leung cited similar cases in common law jurisdictions that offer examples to follow. For instance, U.S. websites would be shut down if they spread hate speech against the United States. Also, last week, a Spanish judge ordered the closure of a website suspected to have organized street demonstrations through social media and encrypted applications.
Ma Yan-kwok, barrister and chairman of the Hong Kong Legal Exchange Foundation, said some online forums have overstepped the bottom line of freedom of speech and are suspected of an offense of sedition, adding the use of the internet to instigate violent assaults is an even more serious felony.
Inciting riots carries a maximum sentence of 10 years in prison while inciting others to murder, such as teaching or instigating others to cut the neck of a police officer, is liable to a maximum sentence of life in prison, Ma added.
He said in Hong Kong, the major problem is that law enforcement is too weak to deter crimes, where legal procedures are lengthy and uncertain. The behind-the-scene suspects are usually left unidentified.
Refuting the rhetoric that defends the online crimes with freedom of speech, Leung said as stipulated in the international conventions on human rights, freedom of speech has always been within the framework of legal constraints and should be properly restricted for the protection of national security, public order, public health or morals."
Chinese community in Ghana gathers against violence in Hong Kong,"ACCRA, Aug. 25 (Xinhua) -- The Chinese community in Ghana gathered here Sunday to protest the violent acts in Hong Kong, China.
The gathering called for peace in Hong Kong with people holding placards saying ""We love China"" and ""We love Hong Kong.""
Chinese Ambassador to Ghana Wang Shiting urged foreign countries to stop interfering in China's internal affairs. ""I want to reiterate that Hong Kong is part of China, so foreign forces must stop interfering in China's affairs.""
""Evidence shows that, but for the interference and incitement by foreign forces, the situation in Hong Kong would not have deteriorated to this level,"" Wang added."
Backgrounder: Anti-mask legislation adopted in recent years,"BEIJING, Oct. 5 (Xinhua) -- An anti-mask law established by the government of China's Hong Kong Special Administrative Region (HKSAR) came into effect on Saturday to end violence and restore order in the Asian financial hub.
HKSAR Chief Executive Carrie Lam told a press conference Friday that the government has invoked the power under the Emergency Regulations Ordinance and passed the Prohibition on Face Covering Regulation to ""create a deterrent effect against masked, violent protesters and rioters.""
Many countries have similar anti-mask legislations, including Britain, Russia, Canada, Australia, France and the United States.
Following a series of riots in many British cities in August 2011, Britain temporarily reintroduced anti-mask laws, giving the police the power to remove face masks and other covering from rioters.
The amendments of the Russian federal law on assemblies, meetings, demonstrations, marches and picketing as of June 2012 demand that participants in a public event do not conceal their faces, including through the use of masks and other means of disguise to hide one's identity.
Those who fail to comply with the lawful request can be temporarily detained for investigation, the law said.
On June 19, 2013, Canada's parliament passed the Preventing Persons from Concealing Their Identity during Riots and Unlawful Assemblies Act (Bill C-309).
The law bans the wearing of masks during a riot or illegal assembly, and carries a penalty of up to ten years in prison.
Australia's state of Victoria passed laws in September 2017 to prohibit the covering of faces in violent protests. Those who commit violence while wearing a face mask could get 15 years behind bars.
""This legislation will make it clear that if you commit these violent offences with face covering on, you'll get even longer periods in prison,"" said then Victorian Attorney-General Martin Pakula.
The French government introduced an anti-riot law in April 2019, which bans covering one's face during a demonstration that disrupts public order. A conviction under the law can lead to a sentence of up to one year in prison and a fine of 15,000 euros.
In the United States, at least 15 states prohibit protesters from wearing masks. In New York State, the anti-mask law bans wearing masks or any manner of disguise during demonstrations.
In Arizona State, lawmakers revamped a bill in early 2018 which bans wearing a disguise during protests and public events. Offenders wearing a mask when damaging property will face more time in prison than those who do not cover their faces."
Roundup: Azerbaijani experts denounce rioters' violent behavior in Hong Kong,"BAKU, Aug. 27 (Xinhua) -- Azerbaijani political analysts, in recent interviews with Xinhua, have denounced Hong Kong rioters' violent acts and called on the administration to raise public awareness of the rule of law.
Political analyst Ilgar Velizade told Xinhua on Tuesday that the Chinese port city has long benefited from the ""one country, two systems"" principle, and continuously functions as a gateway for overseas investors and exporters to China.
This role has put Hong Kong at the top of economy and finance ratings for years, Velizade said, warning that this achievement could be ruined by the ongoing turmoil.
Destructive acts by rioters, the ongoing protests, and the threat of chaos, unrest and illegal activities that have almost paralyzed the city could trigger an outflow of investment, even an economic recession, which will profoundly impact the lives of ordinary people, the expert said.
He said that China's numerous friends around the world, including those in Azerbaijan, hope for the restoration of peace and stability as soon as possible in Hong Kong.
Another analyst, Elkhan Shahinoglu, told Xinhua on Tuesday that it is important for the Chinese port city to take such measures as campaigns to promote the essence of Hong Kong Basic Law and local laws.
""The escalation of the unrest will be disadvantageous for all,"" he said.
Shahinoglu, who also heads the Atlas Research Center for political studies, praised China's ""one country, two systems"" principle, which has been the cornerstone of Hong Kong's social stability and its way of life.
He warned that foreign forces, including some media, are taking advantage of the ongoing situation with an aim to create chaos in the city."
